timestamp_ms,value
7364,0
7368,100
7374,200
7379,300
7383,400
7387,500
7392,600
7396,700
7400,800
7404,900
7408,1000
7821,1100
7827,1200
7831,1300
7835,1400
7839,1500
7843,1600
7848,1700
7852,1800
7856,1900
7860,2000
8121,2100
8129,2200
8136,2300
8144,2400
8149,2500
8153,2600
8157,2700
8162,2800
8166,2900
8170,3000
8436,3100
8443,3200
8448,3300
8456,3400
8460,3500
8465,3600
8469,3700
8474,3800
8479,3900
8483,4000
8796,4100
8800,4200
8804,4300
8808,4400
8813,4500
8817,4600
8821,4700
8825,4800
8829,4900
8833,5000
9140,5100
9147,5200
9151,5300
9156,5400
9164,5500
9172,5600
9179,5700
9188,5800
9195,5900
9199,6000
9457,6100
9462,6200
9467,6300
9472,6400
9476,6500
9481,6600
9485,6700
9489,6800
9492,6900
9496,7000
9763,7100
9769,7200
9777,7300
9789,7400
9797,7500
9805,7600
9809,7700
9813,7800
9816,7900
9820,8000
10137,8100
10141,8200
10144,8300
10148,8400
10152,8500
10156,8600
10159,8700
10163,8800
10167,8900
10171,9000
10481,9100
10489,9200
10493,9300
10497,9400
10501,9500
10506,9600
10510,9700
10514,9800
10526,9900
10530,10000
10841,10100
10845,10200
10849,10300
10853,10400
10857,10500
10861,10600
10865,10700
10869,10800
10873,10900
10877,11000
11273,11100
11276,11200
11280,11300
11284,11400
11288,11500
11293,11600
11297,11700
11300,11800
11304,11900
11308,12000
11596,12100
11601,12200
11606,12300
11610,12400
11614,12500
11617,12600
11621,12700
11625,12800
11629,12900
11633,13000
12033,13100
12037,13200
12041,13300
12046,13400
12053,13500
12057,13600
12062,13700
12069,13800
12073,13900
12077,14000
12337,14100
12341,14200
12345,14300
12349,14400
12353,14500
12357,14600
12360,14700
12365,14800
12371,14900
12375,15000
12726,15100
12738,15200
12750,15300
12754,15400
12757,15500
12761,15600
12764,15700
12767,15800
12770,15900
12774,16000
13144,16100
13148,16200
13152,16300
13155,16400
13159,16500
13164,16600
13170,16700
13174,16800
13178,16900
13182,17000
13481,17100
13485,17200
13493,17300
13497,17400
13505,17500
13509,17600
13513,17700
13518,17800
13526,17900
13530,18000
13798,18100
13802,18200
13806,18300
13810,18400
13813,18500
13817,18600
13821,18700
13825,18800
13829,18900
13832,19000
14107,19100
14111,19200
14115,19300
14119,19400
14123,19500
14126,19600
14130,19700
14134,19800
14138,19900
14142,20000
14412,20100
14419,20200
14423,20300
14427,20400
14431,20500
14443,20600
14447,20700
14451,20800
14455,20900
14459,21000
14800,21100
14804,21200
14811,21300
14815,21400
14819,21500
14823,21600
14831,21700
14835,21800
14840,21900
14847,22000
15131,22100
15136,22200
15140,22300
15145,22400
15149,22500
15153,22600
15157,22700
15161,22800
15165,22900
