timestamp_ms,value
6879,0
6883,100
6889,200
6894,300
6898,400
6902,500
6906,600
6910,700
6913,800
6918,900
6921,1000
7233,1100
7239,1200
7248,1300
7252,1400
7260,1500
7264,1600
7268,1700
7271,1800
7276,1900
7279,2000
7543,2100
7550,2200
7555,2300
7558,2400
7566,2500
7570,2600
7574,2700
7578,2800
7581,2900
7586,3000
7852,3100
7863,3200
7871,3300
7876,3400
7881,3500
7886,3600
7890,3700
7894,3800
7898,3900
7903,4000
8157,4100
8161,4200
8166,4300
8170,4400
8174,4500
8178,4600
8182,4700
8186,4800
8190,4900
8194,5000
8511,5100
8515,5200
8519,5300
8523,5400
8528,5500
8531,5600
8539,5700
8543,5800
8547,5900
8551,6000
8810,6100
8814,6200
8818,6300
8823,6400
8827,6500
8831,6600
8835,6700
8839,6800
8843,6900
8847,7000
9107,7100
9111,7200
9114,7300
9119,7400
9122,7500
9127,7600
9131,7700
9138,7800
9143,7900
9147,8000
9424,8100
9428,8200
9432,8300
9437,8400
9441,8500
9445,8600
9449,8700
9453,8800
9457,8900
9461,9000
9723,9100
9727,9200
9731,9300
9739,9400
9747,9500
9751,9600
9754,9700
9759,9800
9762,9900
9766,10000
10109,10100
10113,10200
10117,10300
10122,10400
10126,10500
10130,10600
10134,10700
10138,10800
10141,10900
10145,11000
10431,11100
10435,11200
10442,11300
10446,11400
10450,11500
10459,11600
10463,11700
10468,11800
10472,11900
10476,12000
10742,12100
10746,12200
10749,12300
10753,12400
10756,12500
10760,12600
10763,12700
10766,12800
10770,12900
10773,13000
11102,13100
11106,13200
11110,13300
11113,13400
11121,13500
11128,13600
11132,13700
11136,13800
11144,13900
11148,14000
11410,14100
11415,14200
11420,14300
11424,14400
11429,14500
11432,14600
11436,14700
11440,14800
11444,14900
11448,15000
11728,15100
11740,15200
11748,15300
11756,15400
11760,15500
11764,15600
11767,15700
11771,15800
11775,15900
11779,16000
12105,16100
12108,16200
12112,16300
12116,16400
12120,16500
12125,16600
12129,16700
12132,16800
12136,16900
12140,17000
12385,17100
12389,17200
12394,17300
12399,17400
12404,17500
12411,17600
12420,17700
12428,17800
12432,17900
12437,18000
12735,18100
12738,18200
12742,18300
12746,18400
12750,18500
12754,18600
12758,18700
12762,18800
12766,18900
12770,19000
13208,19100
13212,19200
13216,19300
13220,19400
13224,19500
13228,19600
13232,19700
13236,19800
13240,19900
13244,20000
13492,20100
13500,20200
13508,20300
13515,20400
13527,20500
13536,20600
13540,20700
13545,20800
13549,20900
13553,21000
13868,21100
13876,21200
13883,21300
13887,21400
13891,21500
13895,21600
13902,21700
13905,21800
13910,21900
13914,22000
14258,22100
14262,22200
14265,22300
14269,22400
14274,22500
14278,22600
14282,22700
14286,22800
14290,22900
14294,23000
14542,23100
14546,23200
14550,23300
14555,23400
14559,23500
14562,23600
14565,23700
14568,23800
14572,23900
14575,24000
14838,24100
14847,24200
14854,24300
14862,24400
14866,24500
14878,24600
14886,24700
14890,24800
14895,24900
14899,25000
15183,25100
15191,25200
15195,25300
15206,25400
15211,25500
15222,25600
15227,25700
15234,25800
15236,25900
15244,26000
15542,26100
15546,26200
15551,26300
15555,26400
15559,26500
15562,26600
15567,26700
15571,26800
15575,26900
15579,27000
15832,27100
15836,27200
15840,27300
15845,27400
15849,27500
15853,27600
15857,27700
15862,27800
15865,27900
15870,28000
16118,28100
16126,28200
16130,28300
16134,28400
16142,28500
16147,28600
16151,28700
16154,28800
16159,28900
16163,29000
16449,29100
16453,29200
16456,29300
16460,29400
16464,29500
16469,29600
16479,29700
16487,29800
16490,29900
16494,30000
16859,30100
16864,30200
16869,30300
16873,30400
16877,30500
16882,30600
16886,30700
16890,30800
16894,30900
16898,31000
17227,31100
17230,31200
17235,31300
17239,31400
17243,31500
17247,31600
17252,31700
17256,31800
17260,31900
17263,32000
17515,32100
17521,32200
17525,32300
17529,32400
17537,32500
17541,32600
17545,32700
17553,32800
17557,32900
17561,33000
17865,33100
17877,33200
17885,33300
17889,33400
17897,33500
17900,33600
17904,33700
17908,33800
17915,33900
17922,34000
18247,34100
18254,34200
18262,34300
18267,34400
18271,34500
18278,34600
18282,34700
18287,34800
18294,34900
18298,35000
18561,35100
18565,35200
18570,35300
18574,35400
18579,35500
18583,35600
18587,35700
18591,35800
18596,35900
18600,36000
18872,36100
18877,36200
18882,36300
18887,36400
18892,36500
18897,36600
18901,36700
18905,36800
18910,36900
18914,37000
19245,37100
19250,37200
19254,37300
19258,37400
19264,37500
19268,37600
19276,37700
19280,37800
19284,37900
19292,38000
19832,38100
19836,38200
19840,38300
19844,38400
19849,38500
19853,38600
19857,38700
19861,38800
19865,38900
19869,39000
20142,39100
20146,39200
20151,39300
20156,39400
20161,39500
20165,39600
20170,39700
20174,39800
20178,39900
20182,40000
20440,40100
20446,40200
20450,40300
20454,40400
20459,40500
20463,40600
20467,40700
20471,40800
20476,40900
20480,41000
20746,41100
20750,41200
20758,41300
20761,41400
20765,41500
20770,41600
20774,41700
20777,41800
20781,41900
20786,42000
21130,42100
21134,42200
21141,42300
21150,42400
21157,42500
21165,42600
21168,42700
21171,42800
21176,42900
21180,43000
21510,43100
21514,43200
21518,43300
21523,43400
21527,43500
21531,43600
21535,43700
21540,43800
21544,43900
21548,44000
21922,44100
21927,44200
21931,44300
21936,44400
21940,44500
21944,44600
21948,44700
21953,44800
21957,44900
21961,45000
22210,45100
22214,45200
22218,45300
22226,45400
22229,45500
22234,45600
22243,45700
22255,45800
22260,45900
22264,46000
22583,46100
22586,46200
22589,46300
22597,46400
22601,46500
22609,46600
22618,46700
22625,46800
22633,46900
22637,47000
22909,47100
22913,47200
22918,47300
22922,47400
22926,47500
22931,47600
22935,47700
22939,47800
22944,47900
22947,48000
23200,48100
23204,48200
23208,48300
23213,48400
23217,48500
23221,48600
23226,48700
23230,48800
23234,48900
23238,49000
23546,49100
23562,49200
23565,49300
23572,49400
23580,49500
23584,49600
23588,49700
23596,49800
23608,49900
23613,50000
23868,50100
23877,50200
23885,50300
23893,50400
23901,50500
23908,50600
23917,50700
23924,50800
23933,50900
23940,51000
24200,51100
24206,51200
24212,51300
24217,51400
24222,51500
24227,51600
24232,51700
24243,51800
24248,51900
24253,52000
24584,52100
24589,52200
24594,52300
24599,52400
24603,52500
24609,52600
24614,52700
24619,52800
24624,52900
24629,53000
24910,53100
24918,53200
24926,53300
24934,53400
24938,53500
24943,53600
24952,53700
24956,53800
24960,53900
24965,54000
25232,54100
25237,54200
25241,54300
25246,54400
25251,54500
25259,54600
25267,54700
25272,54800
25279,54900
25284,55000
25629,55100
25634,55200
25638,55300
25644,55400
25648,55500
25653,55600
25658,55700
25663,55800
25669,55900
25674,56000
25949,56100
25955,56200
25961,56300
25967,56400
25973,56500
25978,56600
25982,56700
25987,56800
25993,56900
25997,57000
26264,57100
26269,57200
26278,57300
26285,57400
26294,57500
26305,57600
26313,57700
26318,57800
26332,57900
26337,58000
26636,58100
26644,58200
26653,58300
26658,58400
26667,58500
26676,58600
26685,58700
26689,58800
26694,58900
26699,59000
26956,59100
26963,59200
26970,59300
26976,59400
26981,59500
26987,59600
26992,59700
26998,59800
27003,59900
27009,60000
27381,60100
27386,60200
27392,60300
27397,60400
27404,60500
27410,60600
27415,60700
27421,60800
27427,60900
27433,61000
27745,61100
27754,61200
27763,61300
27768,61400
27773,61500
27779,61600
27787,61700
27795,61800
27804,61900
27817,62000
28083,62100
28090,62200
28099,62300
28106,62400
28114,62500
28124,62600
28134,62700
28142,62800
28151,62900
28158,63000
28459,63100
28466,63200
28473,63300
28480,63400
28486,63500
28493,63600
28498,63700
28504,63800
28509,63900
28515,64000
28832,64100
28837,64200
28843,64300
28848,64400
28854,64500
28859,64600
28864,64700
28870,64800
28875,64900
28881,65000
29347,65100
29352,65200
29357,65300
29362,65400
29368,65500
29377,65600
29386,65700
29394,65800
29402,65900
29411,66000
29681,66100
29692,66200
29702,66300
29710,66400
29717,66500
29726,66600
29737,66700
29745,66800
29753,66900
29760,67000
30048,67100
30056,67200
30073,67300
30088,67400
30096,67500
30103,67600
30110,67700
30117,67800
30125,67900
30133,68000
30460,68100
30467,68200
30474,68300
30481,68400
30489,68500
30498,68600
30504,68700
30512,68800
30519,68900
30527,69000
30777,69100
30787,69200
30797,69300
30812,69400
30820,69500
30833,69600
30840,69700
30849,69800
30858,69900
30867,70000
31155,70100
31164,70200
31173,70300
31185,70400
31194,70500
31203,70600
31212,70700
31222,70800
31233,70900
31238,71000
31489,71100
31496,71200
31503,71300
31510,71400
31515,71500
31521,71600
31527,71700
31533,71800
31539,71900
31545,72000
31865,72100
31872,72200
31878,72300
31886,72400
31892,72500
31899,72600
31906,72700
31914,72800
31921,72900
31926,73000
32254,73100
32261,73200
32269,73300
32277,73400
32285,73500
32292,73600
32299,73700
32306,73800
32314,73900
32324,74000
32613,74100
32618,74200
32625,74300
32634,74400
32641,74500
32650,74600
32659,74700
32669,74800
32679,74900
32689,75000
32928,75100
32936,75200
32943,75300
32950,75400
32957,75500
32963,75600
32969,75700
32975,75800
32982,75900
32988,76000
33292,76100
33300,76200
33306,76300
33313,76400
33319,76500
33326,76600
33332,76700
33339,76800
33346,76900
33353,77000
33691,77100
33699,77200
33709,77300
33716,77400
33727,77500
33735,77600
