timestamp_ms,value
4779,0
4784,100
4789,200
4794,300
4798,400
4802,500
4807,600
4810,700
4814,800
4819,900
4823,1000
5042,1100
5047,1200
5051,1300
5055,1400
5059,1500
5063,1600
5067,1700
5071,1800
5076,1900
5080,2000
5249,2100
5256,2200
5261,2300
5267,2400
5272,2500
5277,2600
5282,2700
5286,2800
5291,2900
5296,3000
5509,3100
5513,3200
5518,3300
5522,3400
5526,3500
5530,3600
5534,3700
5538,3800
5543,3900
5547,4000
5681,4100
5686,4200
5691,4300
5696,4400
5701,4500
5706,4600
5710,4700
5715,4800
5719,4900
5723,5000
5848,5100
5852,5200
5857,5300
5861,5400
5865,5500
5869,5600
5873,5700
5877,5800
5881,5900
5885,6000
6061,6100
6067,6200
6075,6300
6081,6400
6087,6500
6092,6600
6097,6700
6102,6800
6107,6900
6111,7000
6251,7100
6258,7200
6264,7300
6269,7400
6274,7500
6279,7600
6284,7700
6288,7800
6293,7900
6297,8000
6437,8100
6444,8200
6449,8300
6455,8400
6460,8500
6465,8600
6470,8700
6475,8800
6479,8900
6484,9000
6670,9100
6673,9200
6677,9300
6681,9400
6685,9500
6689,9600
6693,9700
6697,9800
6701,9900
6705,10000
6864,10100
6870,10200
6875,10300
6880,10400
6885,10500
6890,10600
6894,10700
6899,10800
6904,10900
6908,11000
7058,11100
7063,11200
7068,11300
7109,11400
7113,11500
7117,11600
7121,11700
7126,11800
7130,11900
7134,12000
7274,12100
7280,12200
7285,12300
7290,12400
7295,12500
7300,12600
7304,12700
7309,12800
7313,12900
7318,13000
7533,13100
7537,13200
7540,13300
7544,13400
7548,13500
7552,13600
7556,13700
7559,13800
7563,13900
7567,14000
7757,14100
7763,14200
7770,14300
7775,14400
7780,14500
7785,14600
7790,14700
7795,14800
7799,14900
7804,15000
7971,15100
7978,15200
7985,15300
7992,15400
7997,15500
8002,15600
8007,15700
8012,15800
8016,15900
8020,16000
8144,16100
8151,16200
8156,16300
8162,16400
8167,16500
8171,16600
8176,16700
8181,16800
8185,16900
8189,17000
8365,17100
8368,17200
8372,17300
8376,17400
8380,17500
8383,17600
8387,17700
8391,17800
8396,17900
8409,18000
8520,18100
8525,18200
8530,18300
8535,18400
8540,18500
8545,18600
8549,18700
8553,18800
8557,18900
8561,19000
